pdb,cgRNASP[kBT],cgRNASP-P[kBT],cgRNASP-PC[kBT],rsRNASP[kBT],RNA_BRiQ,DFIRE_RNA
S_0.pdb,-424.208945,-955.427511,-263.232274,-6017.688046,-39.5636,-42099.92344
S_1.pdb,-423.932586,-990.867471,-254.897481,-6295.313824,-45.6677,-43453.232262
S_2.pdb,-430.906962,-905.396764,-236.999943,-6610.63116,-59.6132,-44758.943608
S_3.pdb,-427.607604,-897.099812,-255.562945,-5806.704522,-46.9752,-41120.804254
S_4.pdb,-437.238782,-965.17976,-243.879471,-6405.283145,-67.1044,-44008.433999
S_5.pdb,-416.961489,-897.19142,-263.870753,-5938.636398,-54.8258,-41879.198484
S_6.pdb,-431.480801,-970.002297,-258.84381,-6611.484369,-61.766,-43483.231708
S_7.pdb,-400.865948,-897.132786,-236.235767,-6295.963718,-36.1712,-42362.395657
S_8.pdb,-416.439276,-927.043898,-253.293403,-6107.933557,7.71749,-43954.807564
S_9.pdb,-405.755218,-873.13882,-249.550003,-5760.074969,-5.22135,-42504.984855
