S_000046.pdb     -1176.398323 kBT
S_000052.pdb     -1129.352644 kBT
S_000085.pdb     -1143.595508 kBT
S_000091.pdb     -1113.196478 kBT
S_000090.pdb     -1024.827490 kBT
S_000084.pdb     -1182.486553 kBT
S_000053.pdb     -1071.454865 kBT
S_000047.pdb     -1013.504635 kBT
S_000079.pdb     -1148.578366 kBT
S_000051.pdb     -1099.279669 kBT
S_000045.pdb     -1092.625122 kBT
S_000092.pdb     -1243.171440 kBT
S_000086.pdb     -1242.637823 kBT
S_000087.pdb     -1142.662260 kBT
S_000093.pdb     -1104.540616 kBT
S_000044.pdb     -1029.006815 kBT
S_000050.pdb     -1083.956371 kBT
S_000078.pdb     -1092.217216 kBT
S_000054.pdb     -1252.550933 kBT
S_000040.pdb     -1060.051278 kBT
S_000068.pdb     -989.470804 kBT
S_000097.pdb     -1237.739120 kBT
S_000083.pdb     -1156.918314 kBT
S_000082.pdb     -1125.690868 kBT
S_000096.pdb     -1047.296281 kBT
S_000069.pdb     -1285.323762 kBT
S_000041.pdb     -1116.248150 kBT
S_000055.pdb     -1220.303975 kBT
S_000043.pdb     -1179.621435 kBT
S_000057.pdb     -1234.280158 kBT
S_000080.pdb     -1104.912968 kBT
S_000094.pdb     -1089.017498 kBT
S_000095.pdb     -1185.399887 kBT
S_000081.pdb     -1235.138835 kBT
S_000056.pdb     -1081.085335 kBT
S_000042.pdb     -1075.685956 kBT
S_000019.pdb     -1097.248067 kBT
S_000025.pdb     -1081.012519 kBT
S_000031.pdb     -1165.290194 kBT
S_000030.pdb     -1012.552054 kBT
S_000024.pdb     -1001.916031 kBT
S_000018.pdb     -1116.596621 kBT
S_000032.pdb     -1070.213631 kBT
S_000026.pdb     -1135.248980 kBT
S_000027.pdb     -1139.691041 kBT
S_000033.pdb     -1179.987969 kBT
S_000037.pdb     -1062.217141 kBT
S_000023.pdb     -1243.112059 kBT
S_000022.pdb     -1199.331531 kBT
S_000036.pdb     -1205.265412 kBT
S_000020.pdb     -1220.333413 kBT
S_000034.pdb     -1115.459632 kBT
S_000008.pdb     -1105.044208 kBT
S_000009.pdb     -1214.395291 kBT
S_000035.pdb     -1127.821532 kBT
S_000021.pdb     -1069.971017 kBT
S_000038.pdb     -1091.416012 kBT
S_000004.pdb     -1116.098710 kBT
S_000010.pdb     -1098.516240 kBT
S_000011.pdb     -1047.509958 kBT
S_000005.pdb     -1187.770571 kBT
S_000039.pdb     -1198.186011 kBT
S_000013.pdb     -1006.388223 kBT
S_000007.pdb     -1077.717252 kBT
S_000006.pdb     -1126.992809 kBT
S_000012.pdb     -982.082309 kBT
S_000016.pdb     -1033.717794 kBT
S_000002.pdb     -1194.471563 kBT
S_000003.pdb     -1222.536778 kBT
S_000017.pdb     -1043.694414 kBT
S_000001.pdb     -1219.825390 kBT
S_000015.pdb     -1243.906149 kBT
S_000029.pdb     -1189.337773 kBT
S_000028.pdb     -1050.320894 kBT
S_000014.pdb     -1132.344758 kBT
S_000067.pdb     -1130.096184 kBT
S_000073.pdb     -998.517461 kBT
S_000098.pdb     -1097.309915 kBT
S_000099.pdb     -1062.193003 kBT
S_000072.pdb     -1150.065450 kBT
S_000066.pdb     -1113.861096 kBT
S_000058.pdb     -1230.205842 kBT
S_000070.pdb     -1144.975908 kBT
S_000064.pdb     -1005.154805 kBT
S_000065.pdb     -1037.123146 kBT
S_000071.pdb     -1119.031480 kBT
S_000059.pdb     -949.130384 kBT
S_000075.pdb     -1194.739552 kBT
S_000061.pdb     -928.596320 kBT
S_000049.pdb     -1107.647223 kBT
S_000048.pdb     -1213.558106 kBT
S_000060.pdb     -1057.863043 kBT
S_000074.pdb     -1182.797978 kBT
S_000100.pdb     -1264.008371 kBT
S_000062.pdb     -1102.850315 kBT
S_000076.pdb     -941.511318 kBT
S_000089.pdb     -1139.800316 kBT
S_000088.pdb     -971.562621 kBT
S_000077.pdb     -1036.650731 kBT
S_000063.pdb     -1234.675323 kBT
