S_000046.pdb     -307.269018 kBT
S_000052.pdb     -316.707283 kBT
S_000085.pdb     -312.843117 kBT
S_000091.pdb     -292.728502 kBT
S_000090.pdb     -285.781430 kBT
S_000084.pdb     -307.924711 kBT
S_000053.pdb     -300.593482 kBT
S_000047.pdb     -295.015668 kBT
S_000079.pdb     -313.798873 kBT
S_000051.pdb     -294.315801 kBT
S_000045.pdb     -293.975101 kBT
S_000092.pdb     -320.971460 kBT
S_000086.pdb     -322.056544 kBT
S_000087.pdb     -299.692971 kBT
S_000093.pdb     -303.156063 kBT
S_000044.pdb     -287.293121 kBT
S_000050.pdb     -296.528495 kBT
S_000078.pdb     -305.646227 kBT
S_000054.pdb     -318.278011 kBT
S_000040.pdb     -295.369109 kBT
S_000068.pdb     -283.201684 kBT
S_000097.pdb     -333.892507 kBT
S_000083.pdb     -302.162031 kBT
S_000082.pdb     -311.259998 kBT
S_000096.pdb     -288.530660 kBT
S_000069.pdb     -321.672284 kBT
S_000041.pdb     -319.942887 kBT
S_000055.pdb     -312.541282 kBT
S_000043.pdb     -302.710480 kBT
S_000057.pdb     -322.828372 kBT
S_000080.pdb     -297.986914 kBT
S_000094.pdb     -291.848350 kBT
S_000095.pdb     -313.102069 kBT
S_000081.pdb     -320.265660 kBT
S_000056.pdb     -310.224931 kBT
S_000042.pdb     -305.798189 kBT
S_000019.pdb     -298.462314 kBT
S_000025.pdb     -304.506438 kBT
S_000031.pdb     -308.858744 kBT
S_000030.pdb     -276.813323 kBT
S_000024.pdb     -273.985220 kBT
S_000018.pdb     -299.709518 kBT
S_000032.pdb     -296.217337 kBT
S_000026.pdb     -312.587939 kBT
S_000027.pdb     -311.161692 kBT
S_000033.pdb     -317.858915 kBT
S_000037.pdb     -303.799085 kBT
S_000023.pdb     -311.076820 kBT
S_000022.pdb     -322.783485 kBT
S_000036.pdb     -306.092940 kBT
S_000020.pdb     -309.282843 kBT
S_000034.pdb     -306.835133 kBT
S_000008.pdb     -299.438651 kBT
S_000009.pdb     -333.855702 kBT
S_000035.pdb     -301.621211 kBT
S_000021.pdb     -292.754786 kBT
S_000038.pdb     -301.480108 kBT
S_000004.pdb     -294.113221 kBT
S_000010.pdb     -298.296997 kBT
S_000011.pdb     -293.850143 kBT
S_000005.pdb     -313.739794 kBT
S_000039.pdb     -312.040917 kBT
S_000013.pdb     -302.020380 kBT
S_000007.pdb     -308.265690 kBT
S_000006.pdb     -298.815455 kBT
S_000012.pdb     -283.165234 kBT
S_000016.pdb     -298.411980 kBT
S_000002.pdb     -311.309686 kBT
S_000003.pdb     -320.732344 kBT
S_000017.pdb     -279.018805 kBT
S_000001.pdb     -322.421065 kBT
S_000015.pdb     -320.711501 kBT
S_000029.pdb     -325.206584 kBT
S_000028.pdb     -300.149747 kBT
S_000014.pdb     -313.602003 kBT
S_000067.pdb     -295.770075 kBT
S_000073.pdb     -274.622622 kBT
S_000098.pdb     -300.044433 kBT
S_000099.pdb     -303.279657 kBT
S_000072.pdb     -301.966138 kBT
S_000066.pdb     -300.909277 kBT
S_000058.pdb     -310.665753 kBT
S_000070.pdb     -298.268616 kBT
S_000064.pdb     -281.593394 kBT
S_000065.pdb     -284.580768 kBT
S_000071.pdb     -308.036731 kBT
S_000059.pdb     -276.765008 kBT
S_000075.pdb     -326.632055 kBT
S_000061.pdb     -258.623523 kBT
S_000049.pdb     -289.840510 kBT
S_000048.pdb     -311.110924 kBT
S_000060.pdb     -290.700722 kBT
S_000074.pdb     -328.331848 kBT
S_000100.pdb     -326.896275 kBT
S_000062.pdb     -280.851340 kBT
S_000076.pdb     -273.275708 kBT
S_000089.pdb     -304.873092 kBT
S_000088.pdb     -279.446806 kBT
S_000077.pdb     -290.123567 kBT
S_000063.pdb     -316.340699 kBT
