S_000046.pdb     -8541.098454 kBT
S_000052.pdb     -8320.489927 kBT
S_000085.pdb     -7935.235698 kBT
S_000091.pdb     -7846.849273 kBT
S_000090.pdb     -7478.751103 kBT
S_000084.pdb     -8335.915862 kBT
S_000053.pdb     -7993.732550 kBT
S_000047.pdb     -6811.438882 kBT
S_000079.pdb     -8668.381069 kBT
S_000051.pdb     -8207.992719 kBT
S_000045.pdb     -7767.343219 kBT
S_000092.pdb     -8943.362863 kBT
S_000086.pdb     -9085.773512 kBT
S_000087.pdb     -8011.155371 kBT
S_000093.pdb     -8543.161973 kBT
S_000044.pdb     -8004.951819 kBT
S_000050.pdb     -8087.727066 kBT
S_000078.pdb     -7517.454053 kBT
S_000054.pdb     -8922.678017 kBT
S_000040.pdb     -7531.619588 kBT
S_000068.pdb     -6951.363120 kBT
S_000097.pdb     -9561.911007 kBT
S_000083.pdb     -8537.969021 kBT
S_000082.pdb     -8808.662248 kBT
S_000096.pdb     -7783.320046 kBT
S_000069.pdb     -9398.795259 kBT
S_000041.pdb     -8472.613233 kBT
S_000055.pdb     -9063.898120 kBT
S_000043.pdb     -8270.122756 kBT
S_000057.pdb     -8862.851054 kBT
S_000080.pdb     -8017.581692 kBT
S_000094.pdb     -7387.132653 kBT
S_000095.pdb     -8755.635170 kBT
S_000081.pdb     -9230.218612 kBT
S_000056.pdb     -7237.871240 kBT
S_000042.pdb     -8316.358898 kBT
S_000019.pdb     -8041.349005 kBT
S_000025.pdb     -8222.476078 kBT
S_000031.pdb     -8748.954389 kBT
S_000030.pdb     -8126.039760 kBT
S_000024.pdb     -7600.491151 kBT
S_000018.pdb     -8988.719584 kBT
S_000032.pdb     -7626.518109 kBT
S_000026.pdb     -7956.141885 kBT
S_000027.pdb     -8342.176185 kBT
S_000033.pdb     -8742.792734 kBT
S_000037.pdb     -8000.337272 kBT
S_000023.pdb     -8467.551771 kBT
S_000022.pdb     -8935.102614 kBT
S_000036.pdb     -7966.101932 kBT
S_000020.pdb     -8546.569680 kBT
S_000034.pdb     -8577.560074 kBT
S_000008.pdb     -8178.562881 kBT
S_000009.pdb     -8794.462895 kBT
S_000035.pdb     -8235.322376 kBT
S_000021.pdb     -8073.462456 kBT
S_000038.pdb     -7931.565628 kBT
S_000004.pdb     -8100.450104 kBT
S_000010.pdb     -8079.378192 kBT
S_000011.pdb     -7666.142151 kBT
S_000005.pdb     -8572.857834 kBT
S_000039.pdb     -8496.266666 kBT
S_000013.pdb     -7679.105033 kBT
S_000007.pdb     -7908.883848 kBT
S_000006.pdb     -7396.953939 kBT
S_000012.pdb     -6825.756914 kBT
S_000016.pdb     -7440.155110 kBT
S_000002.pdb     -8719.133490 kBT
S_000003.pdb     -8708.663527 kBT
S_000017.pdb     -7292.062698 kBT
S_000001.pdb     -8357.706013 kBT
S_000015.pdb     -9178.992364 kBT
S_000029.pdb     -8668.327891 kBT
S_000028.pdb     -7501.424083 kBT
S_000014.pdb     -8307.716292 kBT
S_000067.pdb     -7174.392995 kBT
S_000073.pdb     -6411.060145 kBT
S_000098.pdb     -7750.883102 kBT
S_000099.pdb     -6461.107986 kBT
S_000072.pdb     -9118.334461 kBT
S_000066.pdb     -8681.061333 kBT
S_000058.pdb     -8665.016661 kBT
S_000070.pdb     -8033.943342 kBT
S_000064.pdb     -7143.545068 kBT
S_000065.pdb     -6723.300053 kBT
S_000071.pdb     -6936.827874 kBT
S_000059.pdb     -6969.666807 kBT
S_000075.pdb     -9357.139895 kBT
S_000061.pdb     -6249.209318 kBT
S_000049.pdb     -7329.096043 kBT
S_000048.pdb     -8633.348440 kBT
S_000060.pdb     -7793.973699 kBT
S_000074.pdb     -8652.233945 kBT
S_000100.pdb     -9425.240922 kBT
S_000062.pdb     -8025.034836 kBT
S_000076.pdb     -7712.245361 kBT
S_000089.pdb     -8128.013820 kBT
S_000088.pdb     -7094.699051 kBT
S_000077.pdb     -7690.105305 kBT
S_000063.pdb     -8436.116572 kBT
