pdb,cgRNASP[kBT],cgRNASP-P[kBT],cgRNASP-PC[kBT],rsRNASP[kBT],RNA_BRiQ,DFIRE_RNA
S_000001.pdb,-581.570102,-1219.82539,-322.421065,-8357.706013,-123.299,-56778.847409
S_000002.pdb,-550.446396,-1194.471563,-311.309686,-8719.13349,-119.351,-56497.446043
S_000003.pdb,-565.324404,-1222.536778,-320.732344,-8708.663527,-117.574,-56237.051876
S_000004.pdb,-517.764433,-1116.09871,-294.113221,-8100.450104,-100.468,-56601.107347
S_000005.pdb,-534.921402,-1187.770571,-313.739794,-8572.857834,-97.2371,-57480.602639
S_000006.pdb,-492.455496,-1126.992809,-298.815455,-7396.953939,-137.456,-54922.321433
S_000007.pdb,-533.231264,-1077.717252,-308.26569,-7908.883848,-90.2567,-56500.665667
S_000008.pdb,-529.727049,-1105.044208,-299.438651,-8178.562881,-96.2081,-56221.36376
S_000009.pdb,-568.556471,-1214.395291,-333.855702,-8794.462895,-105.715,-58264.716447
S_000010.pdb,-519.159703,-1098.51624,-298.296997,-8079.378192,-112.491,-55109.611006
S_000011.pdb,-507.375878,-1047.509958,-293.850143,-7666.142151,-73.7011,-54135.000579
S_000012.pdb,-500.992965,-982.082309,-283.165234,-6825.756914,-78.4517,-53784.902842
S_000013.pdb,-526.589686,-1006.388223,-302.02038,-7679.105033,-132.781,-54216.321309
S_000014.pdb,-541.892011,-1132.344758,-313.602003,-8307.716292,-139.213,-55673.383264
S_000015.pdb,-574.075493,-1243.906149,-320.711501,-9178.992364,-103.151,-58463.695921
S_000016.pdb,-521.487076,-1033.717794,-298.41198,-7440.15511,-26.2642,-54331.119862
S_000017.pdb,-471.614878,-1043.694414,-279.018805,-7292.062698,-131.929,-52534.410922
S_000018.pdb,-535.480601,-1116.596621,-299.709518,-8988.719584,-98.4746,-58249.83454
S_000019.pdb,-540.666557,-1097.248067,-298.462314,-8041.349005,-70.1152,-55370.157411
S_000020.pdb,-537.020366,-1220.333413,-309.282843,-8546.56968,-97.1661,-56761.838719
S_000021.pdb,-510.685061,-1069.971017,-292.754786,-8073.462456,-114.472,-55079.616974
S_000022.pdb,-554.900434,-1199.331531,-322.783485,-8935.102614,-143.17,-58030.742368
S_000023.pdb,-528.855209,-1243.112059,-311.07682,-8467.551771,-101.928,-55610.731465
S_000024.pdb,-482.205444,-1001.916031,-273.98522,-7600.491151,-69.1475,-54163.801299
S_000025.pdb,-528.743967,-1081.012519,-304.506438,-8222.476078,-71.5237,-55110.556622
S_000026.pdb,-515.144983,-1135.24898,-312.587939,-7956.141885,-74.8347,-58061.802988
S_000027.pdb,-505.860193,-1139.691041,-311.161692,-8342.176185,-83.8636,-57700.681598
S_000028.pdb,-491.438626,-1050.320894,-300.149747,-7501.424083,-69.6158,-53469.020119
S_000029.pdb,-559.099906,-1189.337773,-325.206584,-8668.327891,-142.376,-56337.693165
S_000030.pdb,-459.576052,-1012.552054,-276.813323,-8126.03976,-54.1647,-53732.452989
S_000031.pdb,-546.252883,-1165.290194,-308.858744,-8748.954389,-102.764,-58371.354658
S_000032.pdb,-490.605546,-1070.213631,-296.217337,-7626.518109,-122.299,-54796.797887
