pdb,cgRNASP[kBT],cgRNASP-P[kBT],cgRNASP-PC[kBT],rsRNASP[kBT],DFIRE_RNA
S_0.pdb,-532.560882,-1179.987969,-317.858915,-8742.792734,-58454.39687
S_1.pdb,-577.304783,-1243.17144,-320.97146,-8943.362863,-60658.053981
S_2.pdb,-544.114591,-1156.918314,-302.162031,-8537.969021,-58725.030665
S_3.pdb,-573.996155,-1235.138835,-320.26566,-9230.218612,-59297.183765
S_4.pdb,-520.644505,-1205.265412,-306.09294,-7966.101932,-58224.213609
S_5.pdb,-553.841678,-1179.621435,-302.71048,-8270.122756,-58166.45222
S_6.pdb,-586.32672,-1194.739552,-326.632055,-9357.139895,-59527.778457
S_7.pdb,-565.959669,-1182.486553,-307.924711,-8335.915862,-57513.68419
S_8.pdb,-594.945323,-1264.008371,-326.896275,-9425.240922,-58925.014783
S_9.pdb,-515.157286,-1081.085335,-310.224931,-7237.87124,-55199.159203
