S_000046.pdb     -519.521770 kBT
S_000052.pdb     -550.973140 kBT
S_000085.pdb     -530.391719 kBT
S_000091.pdb     -520.904663 kBT
S_000090.pdb     -479.462511 kBT
S_000084.pdb     -565.959669 kBT
S_000053.pdb     -514.293466 kBT
S_000047.pdb     -500.474809 kBT
S_000079.pdb     -545.248391 kBT
S_000051.pdb     -513.014684 kBT
S_000045.pdb     -513.802455 kBT
S_000092.pdb     -577.304783 kBT
S_000086.pdb     -557.533333 kBT
S_000087.pdb     -509.744710 kBT
S_000093.pdb     -521.208535 kBT
S_000044.pdb     -500.187711 kBT
S_000050.pdb     -506.427057 kBT
S_000078.pdb     -497.852931 kBT
S_000054.pdb     -574.563163 kBT
S_000040.pdb     -478.968683 kBT
S_000068.pdb     -466.288443 kBT
S_000097.pdb     -588.381380 kBT
S_000083.pdb     -544.114591 kBT
S_000082.pdb     -536.891665 kBT
S_000096.pdb     -488.076921 kBT
S_000069.pdb     -570.790794 kBT
S_000041.pdb     -535.947975 kBT
S_000055.pdb     -552.997313 kBT
S_000043.pdb     -553.841678 kBT
S_000057.pdb     -565.978196 kBT
S_000080.pdb     -525.667728 kBT
S_000094.pdb     -501.582877 kBT
S_000095.pdb     -553.090999 kBT
S_000081.pdb     -573.996155 kBT
S_000056.pdb     -515.157286 kBT
S_000042.pdb     -523.754914 kBT
S_000019.pdb     -540.666557 kBT
S_000025.pdb     -528.743967 kBT
S_000031.pdb     -546.252883 kBT
S_000030.pdb     -459.576052 kBT
S_000024.pdb     -482.205444 kBT
S_000018.pdb     -535.480601 kBT
S_000032.pdb     -490.605546 kBT
S_000026.pdb     -515.144983 kBT
S_000027.pdb     -505.860193 kBT
S_000033.pdb     -532.560882 kBT
S_000037.pdb     -519.305386 kBT
S_000023.pdb     -528.855209 kBT
S_000022.pdb     -554.900434 kBT
S_000036.pdb     -520.644505 kBT
S_000020.pdb     -537.020366 kBT
S_000034.pdb     -517.471806 kBT
S_000008.pdb     -529.727049 kBT
S_000009.pdb     -568.556471 kBT
S_000035.pdb     -533.015967 kBT
S_000021.pdb     -510.685061 kBT
S_000038.pdb     -521.115768 kBT
S_000004.pdb     -517.764433 kBT
S_000010.pdb     -519.159703 kBT
S_000011.pdb     -507.375878 kBT
S_000005.pdb     -534.921402 kBT
S_000039.pdb     -541.192286 kBT
S_000013.pdb     -526.589686 kBT
S_000007.pdb     -533.231264 kBT
S_000006.pdb     -492.455496 kBT
S_000012.pdb     -500.992965 kBT
S_000016.pdb     -521.487076 kBT
S_000002.pdb     -550.446396 kBT
S_000003.pdb     -565.324404 kBT
S_000017.pdb     -471.614878 kBT
S_000001.pdb     -581.570102 kBT
S_000015.pdb     -574.075493 kBT
S_000029.pdb     -559.099906 kBT
S_000028.pdb     -491.438626 kBT
S_000014.pdb     -541.892011 kBT
S_000067.pdb     -510.096094 kBT
S_000073.pdb     -432.409063 kBT
S_000098.pdb     -515.022440 kBT
S_000099.pdb     -485.138448 kBT
S_000072.pdb     -527.603874 kBT
S_000066.pdb     -547.108715 kBT
S_000058.pdb     -541.775471 kBT
S_000070.pdb     -513.913561 kBT
S_000064.pdb     -467.416144 kBT
S_000065.pdb     -438.396042 kBT
S_000071.pdb     -507.073429 kBT
S_000059.pdb     -469.527353 kBT
S_000075.pdb     -586.326720 kBT
S_000061.pdb     -399.425318 kBT
S_000049.pdb     -485.214953 kBT
S_000048.pdb     -547.107344 kBT
S_000060.pdb     -509.098602 kBT
S_000074.pdb     -569.422015 kBT
S_000100.pdb     -594.945323 kBT
S_000062.pdb     -499.517767 kBT
S_000076.pdb     -436.889098 kBT
S_000089.pdb     -530.715566 kBT
S_000088.pdb     -474.996157 kBT
S_000077.pdb     -505.404925 kBT
S_000063.pdb     -540.255792 kBT
